Year,Forecast,yhat_lower,yhat_upper,region
2016,29351863.84404604,26023292.73045091,32659167.03394065,Midwest
2017,34102680.83229847,30651113.050497856,37554071.485489875,Midwest
2018,31838737.407181695,28419980.76971282,35250251.27045861,Midwest
2019,29745719.544215932,26212900.114602495,33151879.22456105,Midwest
2020,27825706.7323651,24311146.106806315,31246412.500776023,Midwest
2021,32576523.726760533,29139752.015499853,35952541.1572481,Midwest
2022,30312580.313377798,27088352.390843004,33641210.19966521,Midwest
2022,23119775.923544243,19706270.672806542,26534562.95177004,Midwest
2023,21906273.401670344,18237567.6402953,25495134.570691645,Midwest
2024,24554307.832007963,21006239.95111464,27870650.489470605,Midwest
