Year,Forecast,yhat_lower,yhat_upper,region
2016,22539825.94362006,20593136.733117495,24330270.1706322,Northeast
2017,19864730.462901965,17980425.12007378,21570773.209769428,Northeast
2018,21734997.309784394,19841403.80069939,23444537.200739548,Northeast
2019,23537261.448421583,21588125.12950829,25489353.819102664,Northeast
2020,25270151.753753375,23412982.7400223,27134486.982972723,Northeast
2021,22595069.63199854,20806836.369912256,24535092.69171335,Northeast
2022,24465349.812279686,22641316.952919066,26275498.962282687,Northeast
2022,30040618.249788772,28120258.70433603,31826011.289512757,Northeast
2023,31484606.520262707,29610379.762488715,33377975.06365493,Northeast
2024,29662803.014023766,27771005.439218484,31484929.82295015,Northeast
