Year,Forecast,yhat_lower,yhat_upper,region
2016,54601873.65564116,48768302.981583335,60196561.51725943,South
2017,57953220.66278051,51837285.766264886,64274068.37681233,South
2018,57681532.70609367,51607887.7360654,63940489.37810503,South
2019,56682704.58622956,50784835.12852809,62883655.90534328,South
2020,54958007.52531776,48868518.21676103,60808198.89458675,South
2021,58309354.4827168,52295867.802002616,64580356.73948825,South
2022,58037666.43269752,51910693.55629469,64346208.02311629,South
2022,45460095.1454326,39576312.77294328,51304068.029008046,South
2023,40869504.58335869,35070249.21027729,46955535.14354085,South
2024,52866093.44252691,46016571.80154481,58661097.9635836,South
