Year,Forecast,yhat_lower,yhat_upper,region
2016,32199437.1081002,28882977.08427692,35397428.39155828,West
2017,26233862.154461954,22727724.288653094,29317441.997189816,West
2018,29345437.830795627,25911037.460620187,32781729.98460805,West
2019,32419484.132522963,29194782.09974614,35731196.412341386,West
2020,35453255.43912587,32122295.520254474,38661826.41791949,West
2021,29487680.491938032,26246583.749474186,32725204.814879447,West
2022,32599256.167241536,29291475.760930676,35794810.37664339,West
2022,44286375.944348454,41123166.719956085,47468866.70790522,West
2023,47132834.67595686,43742879.1903241,50524376.421358794,West
2024,41697883.7735593,38330218.67577376,44953582.251217455,West
