Year,Measure Type,Leading 10 Ranking,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
2016,By primary diagnosis,0,All diagnoses,Total,All visits,Visit count,145591000,8798000,128347000,162835000,Yes
2016,By primary diagnosis,0,All diagnoses,By sex,Female,Visit count,79595000,4803000,70182000,89008000,Yes
2016,By primary diagnosis,0,All diagnoses,By sex,Male,Visit count,65996000,4119000,57923000,74070000,Yes
2016,By primary diagnosis,0,All diagnoses,By age,0-17 years old,Visit count,32146000,2840000,26579000,37713000,Yes
2016,By primary diagnosis,0,All diagnoses,By age,18-44 years old,Visit count,55978000,3436000,49243000,62713000,Yes
2016,By primary diagnosis,0,All diagnoses,By age,45-64 years old,Visit count,34359000,2099000,30245000,38473000,Yes
2016,By primary diagnosis,0,All diagnoses,By age,65+ years old,Visit count,23108000,1734000,19710000,26506000,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic white,Visit count,87290000,5617000,76281000,98298000,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic black,Visit count,30688000,2894000,25015000,36361000,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Hispanic,Visit count,22936000,2484000,18066000,27805000,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic other,Visit count,4678000,623000,3458000,5899000,Yes
2016,By primary diagnosis,0,All diagnoses,By region,Northeast,Visit count,24514000,2991000,18652000,30376000,Yes
2016,By primary diagnosis,0,All diagnoses,By region,Midwest,Visit count,31428000,3834000,23913000,38944000,Yes
2016,By primary diagnosis,0,All diagnoses,By region,South,Visit count,53485000,5412000,42877000,64092000,Yes
2016,By primary diagnosis,0,All diagnoses,By region,West,Visit count,36165000,4940000,26483000,45846000,Yes
2016,By primary diagnosis,0,All diagnoses,By metropolitan statistical area (MSA),MSA,Visit count,117189000,8454000,100620000,133758000,Yes
2016,By primary diagnosis,0,All diagnoses,By metropolitan statistical area (MSA),Non-MSA,Visit count,28402000,5057000,18491000,38313000,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Private insurance,Visit count,36576000,2492000,31692000,41459000,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Medicare,Visit count,25916000,1849000,22292000,29540000,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Medicaid,Visit count,49426000,3531000,42506000,56345000,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Uninsured,Visit count,12475000,1517000,9501000,15449000,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Other,Visit count,4615000,675000,3292000,5938000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",Total,All visits,Visit count,34028000,2207000,29702000,38354000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Female,Visit count,19851000,1291000,17321000,22381000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Male,Visit count,14177000,1005000,12207000,16146000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,0-17 years old,Visit count,6486000,691000,5131000,7841000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,18-44 years old,Visit count,12429000,861000,10742000,14117000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,45-64 years old,Visit count,8739000,609000,7545000,9934000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,65+ years old,Visit count,6373000,537000,5320000,7427000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic white,Visit count,21222000,1504000,18275000,24170000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic black,Visit count,6332000,634000,5090000,7574000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Hispanic,Visit count,5393000,731000,3962000,6825000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic other,Visit count,1081000,154000,779000,1382000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,Northeast,Visit count,5715000,897000,3956000,7473000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,Midwest,Visit count,7231000,897000,5473000,8988000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,South,Visit count,11748000,1150000,9494000,14002000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,West,Visit count,9335000,1386000,6617000,12052000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),MSA,Visit count,27928000,2136000,23741000,32115000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),Non-MSA,Visit count,6100000,1104000,3937000,8264000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Private insurance,Visit count,8823000,656000,7537000,10109000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Medicare,Visit count,7276000,606000,6088000,8464000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Medicaid,Visit count,11135000,872000,9425000,12845000,Yes
