date,flu_percent,ili_total,total_patients
2015-09-28,3.1748,1016,32002
2015-10-05,3.42995,1084,31604
2015-10-12,3.63057,1162,32006
2015-10-19,3.84937,1152,29927
2015-10-26,3.47839,1143,32860
2015-11-02,3.86243,1214,31431
2015-11-09,3.96778,1266,31907
2015-11-16,4.81392,1071,22248
2015-11-23,4.43529,1411,31813
2015-11-30,4.49576,1320,29361
2015-12-07,4.67202,1391,29773
2015-12-14,5.12797,1110,21646
2015-12-21,5.70737,1274,22322
2016-01-04,4.68602,1282,27358
2016-01-11,4.16846,1164,27924
2016-01-18,4.36048,1318,30226
2016-01-25,4.96129,1551,31262
2016-02-01,4.89241,1512,30905
2016-02-08,5.62804,1816,32267
2016-02-15,6.36256,2035,31984
2016-02-22,4.48169,1147,25593
2016-02-29,4.7195,1203,25490
2016-03-07,4.01485,941,23438
2016-03-14,3.73119,749,20074
2016-03-21,3.46318,777,22436
2016-03-28,3.2444,760,23425
2016-04-04,2.83508,569,20070
2016-04-11,3.25267,789,24257
2016-04-18,3.57929,846,23636
2016-04-25,3.0393,747,24578
2016-05-02,2.74919,617,22443
2016-05-09,2.30401,472,20486
2016-05-16,2.35638,459,19479
2016-05-23,2.78809,518,18579
2016-05-30,2.47401,395,15966
2016-06-06,1.99249,276,13852
2016-06-13,2.1005,362,17234
2016-06-20,1.87159,316,16884
2016-06-27,1.84575,297,16091
2016-07-04,1.66667,248,14880
2016-07-11,1.55492,189,12155
2016-07-18,1.42177,239,16810
2016-07-25,1.57115,261,16612
2016-08-01,1.27404,216,16954
2016-08-08,1.30064,209,16069
2016-08-15,1.31155,224,17079
2016-08-22,1.76582,336,19028
2016-08-29,2.89706,423,14601
2016-09-05,3.0076,534,17755
2016-09-12,2.60465,509,19542
2016-09-19,2.57309,367,14263
2016-09-26,2.75084,400,14541
2016-10-03,2.08692,654,31338
2016-10-10,1.95234,571,29247
2016-10-17,1.84806,541,29274
2016-10-24,2.06247,589,28558
2016-10-31,2.01191,581,28878
2016-11-07,2.08512,607,29111
2016-11-14,2.24903,673,29924
2016-11-21,2.59299,550,21211
2016-11-28,2.49507,696,27895
2016-12-05,3.06871,816,26591
2016-12-12,3.41272,887,25991
2016-12-19,4.10321,951,23177
2016-12-26,4.32471,960,22198
2017-01-02,4.19085,1076,25675
2017-01-09,5.06267,1450,28641
2017-01-16,5.47691,1563,28538
2017-01-23,6.20619,1868,30099
2017-01-30,8.48188,2774,32705
2017-02-06,10.2826,3508,34116
2017-02-13,9.2512,2592,28018
2017-02-20,8.99901,2635,29281
2017-02-27,7.50649,2256,30054
2017-03-06,7.26928,2107,28985
2017-03-13,5.85242,1403,23973
2017-03-20,4.48645,1258,28040
2017-03-27,4.00722,1065,26577
2017-04-03,3.50145,906,25875
2017-04-10,3.41597,835,24444
2017-04-17,3.39009,665,19616
2017-04-24,2.76932,755,27263
2017-05-01,2.62245,665,25358
2017-05-08,1.72152,419,24339
2017-05-15,2.30259,552,23973
2017-05-22,2.14023,471,22007
2017-05-29,1.79865,360,20015
2017-06-05,1.79529,385,21445
2017-06-12,1.57771,329,20853
2017-06-19,1.50002,302,20133
2017-06-26,1.52211,252,16556
2017-07-03,1.39677,256,18328
2017-07-10,1.21989,238,19510
2017-07-17,1.33324,182,13651
2017-07-24,1.33018,264,19847
2017-07-31,1.27357,260,20415
2017-08-07,1.04005,214,20576
2017-08-14,1.10367,206,18665
2017-08-21,1.8906,347,18354
2017-08-28,1.895,331,17467
2017-09-04,2.01905,371,18375
2017-09-11,1.93658,477,24631
2017-09-18,1.77468,448,25244
2017-09-25,1.9715,494,25057
2017-10-02,2.15321,642,29816
2017-10-09,2.22464,654,29398
2017-10-16,2.13774,641,29985
2017-10-23,2.34254,710,30309
2017-10-30,3.24542,774,23849
2017-11-06,3.67219,1109,30200
2017-11-13,4.41976,1365,30884
2017-11-20,4.57186,1023,22376
2017-11-27,5.26676,1541,29259
2017-12-04,5.83165,1678,28774
2017-12-11,9.36695,2764,29508
2017-12-18,13.449,3938,29281
2017-12-25,10.9528,1830,16708
2018-01-01,12.5909,3428,27226
2018-01-08,12.8689,4047,31448
2018-01-15,13.0336,3966,30429
2018-01-22,14.5657,5203,35721
2018-01-29,13.9335,4996,35856
