REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Texas,2015,40,X,3.1748,X,X,X,X,X,X,1016,126,32002
States,Texas,2015,41,X,3.42995,X,X,X,X,X,X,1084,124,31604
States,Texas,2015,42,X,3.63057,X,X,X,X,X,X,1162,122,32006
States,Texas,2015,43,X,3.84937,X,X,X,X,X,X,1152,123,29927
States,Texas,2015,44,X,3.47839,X,X,X,X,X,X,1143,126,32860
States,Texas,2015,45,X,3.86243,X,X,X,X,X,X,1214,123,31431
States,Texas,2015,46,X,3.96778,X,X,X,X,X,X,1266,123,31907
States,Texas,2015,47,X,4.81392,X,X,X,X,X,X,1071,122,22248
States,Texas,2015,48,X,4.43529,X,X,X,X,X,X,1411,122,31813
States,Texas,2015,49,X,4.49576,X,X,X,X,X,X,1320,119,29361
States,Texas,2015,50,X,4.67202,X,X,X,X,X,X,1391,121,29773
States,Texas,2015,51,X,5.12797,X,X,X,X,X,X,1110,121,21646
States,Texas,2015,52,X,5.70737,X,X,X,X,X,X,1274,120,22322
States,Texas,2016,1,X,4.68602,X,X,X,X,X,X,1282,120,27358
States,Texas,2016,2,X,4.16846,X,X,X,X,X,X,1164,121,27924
States,Texas,2016,3,X,4.36048,X,X,X,X,X,X,1318,123,30226
States,Texas,2016,4,X,4.96129,X,X,X,X,X,X,1551,122,31262
States,Texas,2016,5,X,4.89241,X,X,X,X,X,X,1512,123,30905
States,Texas,2016,6,X,5.62804,X,X,X,X,X,X,1816,122,32267
States,Texas,2016,7,X,6.36256,X,X,X,X,X,X,2035,120,31984
States,Texas,2016,8,X,4.48169,X,X,X,X,X,X,1147,86,25593
States,Texas,2016,9,X,4.7195,X,X,X,X,X,X,1203,83,25490
States,Texas,2016,10,X,4.01485,X,X,X,X,X,X,941,81,23438
States,Texas,2016,11,X,3.73119,X,X,X,X,X,X,749,81,20074
States,Texas,2016,12,X,3.46318,X,X,X,X,X,X,777,81,22436
States,Texas,2016,13,X,3.2444,X,X,X,X,X,X,760,80,23425
States,Texas,2016,14,X,2.83508,X,X,X,X,X,X,569,61,20070
States,Texas,2016,15,X,3.25267,X,X,X,X,X,X,789,77,24257
States,Texas,2016,16,X,3.57929,X,X,X,X,X,X,846,75,23636
States,Texas,2016,17,X,3.0393,X,X,X,X,X,X,747,79,24578
States,Texas,2016,18,X,2.74919,X,X,X,X,X,X,617,77,22443
States,Texas,2016,19,X,2.30401,X,X,X,X,X,X,472,73,20486
States,Texas,2016,20,X,2.35638,X,X,X,X,X,X,459,76,19479
States,Texas,2016,21,X,2.78809,X,X,X,X,X,X,518,74,18579
States,Texas,2016,22,X,2.47401,X,X,X,X,X,X,395,72,15966
States,Texas,2016,23,X,1.99249,X,X,X,X,X,X,276,49,13852
States,Texas,2016,24,X,2.1005,X,X,X,X,X,X,362,69,17234
States,Texas,2016,25,X,1.87159,X,X,X,X,X,X,316,68,16884
States,Texas,2016,26,X,1.84575,X,X,X,X,X,X,297,65,16091
States,Texas,2016,27,X,1.66667,X,X,X,X,X,X,248,68,14880
States,Texas,2016,28,X,1.55492,X,X,X,X,X,X,189,68,12155
States,Texas,2016,29,X,1.42177,X,X,X,X,X,X,239,67,16810
States,Texas,2016,30,X,1.57115,X,X,X,X,X,X,261,67,16612
States,Texas,2016,31,X,1.27404,X,X,X,X,X,X,216,67,16954
States,Texas,2016,32,X,1.30064,X,X,X,X,X,X,209,62,16069
States,Texas,2016,33,X,1.31155,X,X,X,X,X,X,224,65,17079
States,Texas,2016,34,X,1.76582,X,X,X,X,X,X,336,66,19028
States,Texas,2016,35,X,2.89706,X,X,X,X,X,X,423,64,14601
States,Texas,2016,36,X,3.0076,X,X,X,X,X,X,534,63,17755
States,Texas,2016,37,X,2.60465,X,X,X,X,X,X,509,61,19542
States,Texas,2016,38,X,2.57309,X,X,X,X,X,X,367,60,14263
States,Texas,2016,39,X,2.75084,X,X,X,X,X,X,400,60,14541
States,Texas,2016,40,X,2.08692,X,X,X,X,X,X,654,120,31338
States,Texas,2016,41,X,1.95234,X,X,X,X,X,X,571,117,29247
States,Texas,2016,42,X,1.84806,X,X,X,X,X,X,541,114,29274
States,Texas,2016,43,X,2.06247,X,X,X,X,X,X,589,114,28558
States,Texas,2016,44,X,2.01191,X,X,X,X,X,X,581,112,28878
States,Texas,2016,45,X,2.08512,X,X,X,X,X,X,607,116,29111
States,Texas,2016,46,X,2.24903,X,X,X,X,X,X,673,116,29924
States,Texas,2016,47,X,2.59299,X,X,X,X,X,X,550,114,21211
States,Texas,2016,48,X,2.49507,X,X,X,X,X,X,696,112,27895
States,Texas,2016,49,X,3.06871,X,X,X,X,X,X,816,113,26591
States,Texas,2016,50,X,3.41272,X,X,X,X,X,X,887,111,25991
States,Texas,2016,51,X,4.10321,X,X,X,X,X,X,951,108,23177
States,Texas,2016,52,X,4.32471,X,X,X,X,X,X,960,109,22198
States,Texas,2017,1,X,4.19085,X,X,X,X,X,X,1076,113,25675
States,Texas,2017,2,X,5.06267,X,X,X,X,X,X,1450,112,28641
States,Texas,2017,3,X,5.47691,X,X,X,X,X,X,1563,112,28538
States,Texas,2017,4,X,6.20619,X,X,X,X,X,X,1868,109,30099
States,Texas,2017,5,X,8.48188,X,X,X,X,X,X,2774,112,32705
States,Texas,2017,6,X,10.2826,X,X,X,X,X,X,3508,113,34116
States,Texas,2017,7,X,9.2512,X,X,X,X,X,X,2592,90,28018
States,Texas,2017,8,X,8.99901,X,X,X,X,X,X,2635,106,29281
States,Texas,2017,9,X,7.50649,X,X,X,X,X,X,2256,107,30054
States,Texas,2017,10,X,7.26928,X,X,X,X,X,X,2107,105,28985
States,Texas,2017,11,X,5.85242,X,X,X,X,X,X,1403,104,23973
States,Texas,2017,12,X,4.48645,X,X,X,X,X,X,1258,104,28040
States,Texas,2017,13,X,4.00722,X,X,X,X,X,X,1065,101,26577
States,Texas,2017,14,X,3.50145,X,X,X,X,X,X,906,101,25875
States,Texas,2017,15,X,3.41597,X,X,X,X,X,X,835,99,24444
