date,avg_temp,year,week
2015-01-05,44.0,2015,2
2015-01-12,44.0,2015,3
2015-01-19,44.0,2015,4
2015-01-26,44.0,2015,5
2015-02-02,48.2,2015,6
2015-02-09,48.2,2015,7
2015-02-16,48.2,2015,8
2015-02-23,48.2,2015,9
2015-03-02,56.2,2015,10
2015-03-09,56.2,2015,11
2015-03-16,56.2,2015,12
2015-03-23,56.2,2015,13
2015-03-30,56.2,2015,14
2015-04-06,66.6,2015,15
2015-04-13,66.6,2015,16
2015-04-20,66.6,2015,17
2015-04-27,66.6,2015,18
2015-05-04,71.6,2015,19
2015-05-11,71.6,2015,20
2015-05-18,71.6,2015,21
2015-05-25,71.6,2015,22
2015-06-01,79.3,2015,23
2015-06-08,79.3,2015,24
2015-06-15,79.3,2015,25
2015-06-22,79.3,2015,26
2015-06-29,79.3,2015,27
2015-07-06,83.2,2015,28
2015-07-13,83.2,2015,29
2015-07-20,83.2,2015,30
2015-07-27,83.2,2015,31
2015-08-03,83.3,2015,32
2015-08-10,83.3,2015,33
2015-08-17,83.3,2015,34
2015-08-24,83.3,2015,35
2015-08-31,83.3,2015,36
2015-09-07,79.2,2015,37
2015-09-14,79.2,2015,38
2015-09-21,79.2,2015,39
2015-09-28,79.2,2015,40
2015-10-05,69.2,2015,41
2015-10-12,69.2,2015,42
2015-10-19,69.2,2015,43
2015-10-26,69.2,2015,44
2015-11-02,57.3,2015,45
2015-11-09,57.3,2015,46
2015-11-16,57.3,2015,47
2015-11-23,57.3,2015,48
2015-11-30,57.3,2015,49
2015-12-07,51.5,2015,50
2015-12-14,51.5,2015,51
2015-12-21,51.5,2015,52
2015-12-28,51.5,2015,53
2016-01-04,46.4,2016,1
2016-01-11,46.4,2016,2
2016-01-18,46.4,2016,3
2016-01-25,46.4,2016,4
2016-02-01,54.4,2016,5
2016-02-08,54.4,2016,6
2016-02-15,54.4,2016,7
2016-02-22,54.4,2016,8
2016-02-29,54.4,2016,9
2016-03-07,61.2,2016,10
2016-03-14,61.2,2016,11
2016-03-21,61.2,2016,12
2016-03-28,61.2,2016,13
2016-04-04,66.1,2016,14
2016-04-11,66.1,2016,15
2016-04-18,66.1,2016,16
2016-04-25,66.1,2016,17
2016-05-02,71.6,2016,18
2016-05-09,71.6,2016,19
2016-05-16,71.6,2016,20
2016-05-23,71.6,2016,21
2016-05-30,71.6,2016,22
2016-06-06,80.1,2016,23
2016-06-13,80.1,2016,24
2016-06-20,80.1,2016,25
2016-06-27,80.1,2016,26
2016-07-04,85.4,2016,27
2016-07-11,85.4,2016,28
2016-07-18,85.4,2016,29
2016-07-25,85.4,2016,30
2016-08-01,81.5,2016,31
2016-08-08,81.5,2016,32
2016-08-15,81.5,2016,33
2016-08-22,81.5,2016,34
2016-08-29,81.5,2016,35
2016-09-05,77.6,2016,36
2016-09-12,77.6,2016,37
2016-09-19,77.6,2016,38
2016-09-26,77.6,2016,39
2016-10-03,70.9,2016,40
2016-10-10,70.9,2016,41
2016-10-17,70.9,2016,42
2016-10-24,70.9,2016,43
2016-10-31,70.9,2016,44
2016-11-07,61.0,2016,45
2016-11-14,61.0,2016,46
2016-11-21,61.0,2016,47
2016-11-28,61.0,2016,48
2016-12-05,49.6,2016,49
2016-12-12,49.6,2016,50
2016-12-19,49.6,2016,51
2016-12-26,49.6,2016,52
2017-01-02,50.8,2017,1
2017-01-09,50.8,2017,2
2017-01-16,50.8,2017,3
2017-01-23,50.8,2017,4
2017-01-30,50.8,2017,5
2017-02-06,58.4,2017,6
2017-02-13,58.4,2017,7
2017-02-20,58.4,2017,8
2017-02-27,58.4,2017,9
2017-03-06,63.6,2017,10
2017-03-13,63.6,2017,11
2017-03-20,63.6,2017,12
2017-03-27,63.6,2017,13
2017-04-03,67.1,2017,14
2017-04-10,67.1,2017,15
2017-04-17,67.1,2017,16
2017-04-24,67.1,2017,17
2017-05-01,72.0,2017,18
2017-05-08,72.0,2017,19
2017-05-15,72.0,2017,20
2017-05-22,72.0,2017,21
2017-05-29,72.0,2017,22
2017-06-05,80.6,2017,23
2017-06-12,80.6,2017,24
2017-06-19,80.6,2017,25
2017-06-26,80.6,2017,26
2017-07-03,83.6,2017,27
2017-07-10,83.6,2017,28
